Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 148.24 seconds 

Inference time: 168.05 seconds 

Inference time: 109.80 seconds 

Inference time: 132.31 seconds 

Inference time: 185.14 seconds 

Inference time: 130.68 seconds 

Inference time: 117.69 seconds 

Inference time: 86.68 seconds 

Inference time: 74.55 seconds 

Inference time: 71.09 seconds 

Inference time: 164.95 seconds 

Inference time: 116.27 seconds 

Inference time: 114.21 seconds 

Inference time: 145.08 seconds 

Inference time: 114.61 seconds 

Inference time: 148.97 seconds 

Inference time: 134.40 seconds 

Inference time: 164.71 seconds 

Inference time: 126.74 seconds 

Inference time: 126.69 seconds 

Inference time: 152.40 seconds 

Inference time: 140.44 seconds 

Inference time: 129.21 seconds 

Inference time: 131.07 seconds 

Inference time: 137.18 seconds 

Inference time: 148.40 seconds 

Inference time: 166.22 seconds 

Inference time: 126.57 seconds 

Inference time: 161.50 seconds 

Inference time: 108.30 seconds 

Inference time: 158.04 seconds 

Inference time: 139.89 seconds 

Inference time: 121.29 seconds 

Inference time: 139.22 seconds 

Inference time: 74.44 seconds 

Inference time: 152.22 seconds 

Inference time: 158.46 seconds 

Inference time: 143.21 seconds 

Inference time: 156.40 seconds 

Inference time: 142.09 seconds 

Inference time: 170.15 seconds 

Inference time: 145.64 seconds 

Inference time: 121.09 seconds 

Inference time: 162.19 seconds 

Inference time: 105.59 seconds 

Inference time: 139.45 seconds 

Inference time: 136.09 seconds 

Inference time: 152.43 seconds 

Inference time: 153.91 seconds 

Inference time: 138.54 seconds 

Inference time: 139.05 seconds 

Inference time: 140.55 seconds 

Inference time: 56.39 seconds 

Inference time: 117.50 seconds 

Inference time: 96.25 seconds 

Inference time: 153.27 seconds 

Inference time: 139.08 seconds 

Inference time: 158.86 seconds 

Inference time: 122.10 seconds 

Inference time: 123.46 seconds 

Inference time: 138.89 seconds 

Inference time: 134.47 seconds 

Inference time: 123.50 seconds 

Inference time: 112.40 seconds 

Inference time: 111.48 seconds 

Inference time: 165.84 seconds 

Inference time: 132.14 seconds 

Inference time: 166.70 seconds 

Inference time: 159.84 seconds 

Inference time: 105.43 seconds 

Inference time: 117.01 seconds 

Inference time: 131.40 seconds 

Inference time: 160.30 seconds 

Inference time: 141.74 seconds 

Inference time: 170.32 seconds 

Inference time: 151.78 seconds 

Inference time: 147.17 seconds 

Inference time: 161.41 seconds 

Inference time: 134.06 seconds 

Inference time: 154.21 seconds 

Inference time: 140.59 seconds 

Inference time: 128.43 seconds 

Inference time: 139.87 seconds 

Inference time: 122.94 seconds 

